industry,job_title,company_name,company_tier,location,base_salary,bonus_val,equity_val,signing_bonus,working_hours,years_exp,promotion_chance,remote_status
20,Technology,Backend Engineer,Databricks,Late-Stage Startup,San Francisco CA,145000,18000,90000,25000,47,3,High,Hybrid
21,Finance,Junior Compliance Officer,JPMorgan Chase,Public,New York NY,85000,10000,0,7000,45,1,Medium,Hybrid
22,Retail,Junior Merchandising Analyst,Target,Public,Minneapolis MN,52000,4000,500,2000,40,1,Medium,Hybrid
23,Technology,Junior Data Scientist,Spotify,Public,New York NY,115000,11000,15000,15000,44,1,High,Hybrid
24,Defense,Systems Engineer,Lockheed Martin,Public,Fort Worth TX,82000,7000,2000,5000,45,2,Medium,Onsite
25,Finance,Investment Banking Analyst,Lazard,Public,New York NY,110000,55000,0,20000,80,2,High,Onsite
26,Healthcare,Junior Biostatistician,Moderna,Public,Boston MA,88000,8000,8000,6000,42,1,High,Hybrid
27,Technology,Junior QA Engineer,Salesforce,Public,San Francisco CA,95000,8000,12000,10000,40,1,Medium,Hybrid
28,Construction,Civil Engineer,Turner Construction,Private,Dallas TX,72000,5000,0,3000,45,2,Medium,Onsite
29,Finance,Quant Researcher,Two Sigma,Hedge Fund,New York NY,180000,220000,0,75000,65,4,Medium,Onsite
30,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,92000,8500,14000,10000,42,1,High,Remote
31,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,52000,3000,500,1500,40,1,Low,Remote
32,Technology,Junior iOS Developer,Apple,Public,Cupertino CA,128000,14000,30000,20000,45,1,High,Onsite
33,Finance,Financial Advisor,Edward Jones,Public,St. Louis MO,58000,9000,0,3000,42,2,Medium,Hybrid
34,Biotech,Lab Research Associate,Genentech,Public,San Francisco CA,72000,6000,10000,5000,42,1,Medium,Onsite
35,Technology,Junior Cloud Engineer,Amazon Web Services,Public,Seattle WA,118000,13000,28000,18000,45,2,High,Hybrid
36,Consulting,Junior Management Consultant,McKinsey,Private,Chicago IL,95000,18000,0,15000,65,1,High,Hybrid
37,Technology,Junior NLP Engineer,Cohere,Early-Stage Startup,Toronto ON,98000,8000,65000,12000,45,1,High,Remote
38,Finance,Risk Analyst,Bank of America,Public,Charlotte NC,72000,9000,0,5000,43,2,Medium,Hybrid
39,Gaming,Junior Game Developer,Riot Games,Public,Los Angeles CA,102000,9000,8000,10000,45,2,Medium,Hybrid
40,Technology,Junior ML Ops Engineer,Scale AI,Late-Stage Startup,San Francisco CA,128000,13000,75000,18000,45,1,High,Onsite
41,Healthcare,Nurse Practitioner,Mayo Clinic,Non-Profit,Rochester MN,98000,5000,0,8000,44,3,Low,Onsite
42,Shipping,Marine Engineer,Carnival Corporation,Public,Miami FL,78000,6000,1000,4000,50,3,Low,Onsite
43,Finance,Senior Portfolio Manager,BlackRock,Public,New York NY,185000,120000,15000,35000,52,10,Medium,Hybrid
44,Technology,Senior Staff Engineer,Google,Public,San Francisco CA,285000,60000,180000,50000,45,12,Low,Hybrid
45,Consulting,Senior Engagement Manager,Bain & Company,Private,Boston MA,175000,65000,0,30000,65,8,High,Hybrid
46,Technology,Senior Data Engineer,Snowflake,Public,San Francisco CA,195000,30000,95000,35000,45,7,Medium,Remote
47,Finance,Director of FP&A,Visa,Public,San Francisco CA,220000,80000,40000,40000,48,12,Medium,Hybrid
48,Healthcare,Senior Medical Director,Johnson & Johnson,Public,New Brunswick NJ,260000,55000,25000,50000,50,15,Low,Hybrid
49,Technology,VP of Engineering,Figma,Late-Stage Startup,San Francisco CA,310000,75000,850000,100000,50,18,Low,Hybrid
50,Finance,Chief Risk Officer,Citigroup,Public,New York NY,480000,350000,200000,150000,60,25,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,95000,52000,8000,15000,60,1,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,135000,18000,45000,20000,45,1,High,Hybrid
3,Healthcare,Medical Billing Specialist,Regional Health Partners,SME,Columbus OH,42000,3500,0,2000,40,2,Low,Onsite
4,Technology,Junior Data Analyst,Palantir,Late-Stage Startup,New York NY,98000,12000,22000,10000,45,1,Medium,Hybrid
5,Finance,Junior Accountant,Deloitte,Public,Dallas TX,58000,6000,0,5000,45,1,Medium,Hybrid
6,Logistics,Supply Chain Coordinator,FedEx,Public,Memphis TN,52000,4500,1500,3000,40,2,Low,Onsite
7,Technology,Junior Machine Learning Engineer,OpenAI,Late-Stage Startup,San Francisco CA,145000,28000,95000,25000,50,2,High,Hybrid
8,Finance,Investment Banking Analyst,Goldman Sachs,Public,New York NY,110000,75000,5000,20000,80,1,High,Onsite
9,Retail,Store Operations Associate,Target,Public,Minneapolis MN,38000,2500,500,1000,40,1,Low,Onsite
10,Technology,Junior DevOps Engineer,Cloudflare,Public,Austin TX,105000,12000,18000,12000,42,2,Medium,Remote
11,Engineering,Junior Mechanical Engineer,Caterpillar,Public,Peoria IL,72000,5500,2000,6000,42,1,Medium,Onsite
12,Finance,Junior Equity Research Analyst,Morgan Stanley,Public,New York NY,105000,55000,4000,18000,75,2,High,Onsite
13,Technology,Junior Frontend Engineer,Stripe,Late-Stage Startup,San Francisco CA,138000,20000,55000,22000,45,1,High,Hybrid
14,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,62000,5000,1000,3000,40,1,Medium,Hybrid
15,Healthcare,Junior Clinical Data Associate,Pfizer,Public,New York NY,78000,9000,3000,8000,42,2,Medium,Hybrid
16,Technology,Junior Backend Engineer,Databricks,Late-Stage Startup,San Francisco CA,142000,22000,75000,20000,47,1,High,Hybrid
17,Finance,Junior Risk Analyst,JPMorgan Chase,Public,Chicago IL,88000,30000,3000,12000,55,2,Medium,Hybrid
18,Consulting,Junior Business Analyst,McKinsey,Public,New York NY,95000,20000,0,25000,55,1,High,Hybrid
19,Engineering,Junior Civil Engineer,AECOM,Public,Denver CO,68000,5000,1000,4000,40,2,Medium,Onsite
20,Technology,Junior AI Researcher,Anthropic,Late-Stage Startup,San Francisco CA,148000,35000,110000,30000,50,2,High,Hybrid
21,Logistics,Junior Operations Analyst,Amazon,Public,Seattle WA,92000,14000,20000,10000,45,2,Medium,Hybrid
22,Finance,Junior Trader,Jane Street,Private,New York NY,130000,120000,0,50000,65,1,High,Onsite
23,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,102000,11000,15000,10000,43,2,Medium,Remote
24,Healthcare,Junior Biostatistician,Moderna,Public,Boston MA,85000,9500,12000,8000,42,2,High,Hybrid
25,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,62000,7000,500,4000,42,1,Medium,Hybrid
26,Technology,Junior Product Manager,Airbnb,Public,San Francisco CA,128000,18000,35000,15000,45,2,High,Hybrid
27,Finance,Junior Compliance Officer,Charles Schwab,Public,Chicago IL,72000,8000,2000,6000,40,2,Low,Onsite
28,Manufacturing,Junior Process Engineer,3M,Public,St. Paul MN,70000,5500,2000,5000,40,2,Medium,Onsite
29,Technology,Junior iOS Developer,Apple,Public,Cupertino CA,140000,20000,40000,25000,45,1,High,Onsite
30,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,95000,12000,5000,10000,42,3,Medium,Onsite
31,Technology,Junior QA Engineer,Salesforce,Public,San Francisco CA,112000,13000,22000,12000,40,1,Medium,Hybrid
32,Finance,Junior Private Equity Analyst,Blackstone,Public,New York NY,115000,65000,15000,25000,75,2,High,Onsite
33,Aerospace,Junior Systems Engineer,Lockheed Martin,Public,Fort Worth TX,82000,7000,3000,8000,42,2,Medium,Onsite
34,Technology,Junior Data Engineer,Snowflake,Public,San Mateo CA,130000,15000,50000,18000,44,1,High,Hybrid
35,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,195000,185000,0,75000,65,7,Medium,Onsite
36,Technology,Senior Software Engineer,Google,Public,San Francisco CA,210000,45000,120000,50000,45,6,High,Hybrid
37,Healthcare,Senior Biomedical Engineer,Boston Scientific,Public,Minneapolis MN,118000,14000,18000,12000,42,7,Medium,Hybrid
38,Finance,Senior Investment Analyst,Bridgewater Associates,Private,Westport CT,165000,95000,10000,30000,60,8,Medium,Onsite
39,Technology,Senior Product Manager,Uber,Public,San Francisco CA,195000,38000,90000,35000,47,7,High,Hybrid
40,Consulting,Senior Management Consultant,Boston Consulting Group,Public,Chicago IL,175000,55000,5000,40000,55,8,Medium,Hybrid
41,Technology,Senior Machine Learning Engineer,DeepMind,Public,New York NY,215000,55000,85000,45000,48,6,High,Hybrid
42,Engineering,Senior Structural Engineer,Bechtel,Private,Houston TX,125000,16000,8000,14000,44,9,Medium,Onsite
43,Finance,Senior Risk Manager,Citigroup,Public,New York NY,155000,70000,12000,25000,55,8,Medium,Hybrid
44,Technology,Senior Cloud Architect,Microsoft,Public,Seattle WA,198000,40000,95000,40000,44,7,High,Remote
45,Media,Senior UX Designer,Netflix,Public,Los Angeles CA,158000,22000,60000,20000,40,6,Medium,Hybrid
46,Energy,Senior Reservoir Engineer,Chevron,Public,Houston TX,148000,20000,12000,18000,43,9,Medium,Onsite
47,Technology,Senior Data Scientist,Spotify,Public,New York NY,172000,28000,55000,22000,42,6,High,Hybrid
48,Finance,Senior Compliance Manager,BlackRock,Public,New York NY,145000,38000,10000,20000,45,8,Low,Hybrid
49,Technology,Senior Security Engineer,Palo Alto Networks,Public,Santa Clara CA,205000,42000,80000,38000,44,7,High,Remote
50,Technology,Chief AI Officer,xAI,Late-Stage Startup,San Francisco CA,350000,280000,2200000,200000,65,18,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,95000,52000,8000,15000,55,2,High,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,135000,18000,45000,20000,42,1,High,Hybrid
3,Finance,Junior Accountant,Deloitte,Public,Cleveland OH,52000,6000,0,3000,40,1,Medium,Onsite
4,Technology,Junior Data Analyst,Palantir,Public,New York NY,98000,12000,22000,10000,45,2,High,Hybrid
5,Healthcare,Junior Clinical Research Associate,Pfizer,Public,Boston MA,62000,5500,3000,5000,40,1,Medium,Onsite
6,Technology,Junior Frontend Engineer,Stripe,Late-Stage Startup,San Francisco CA,128000,15000,38000,18000,43,1,High,Hybrid
7,Finance,Junior Investment Banking Analyst,Goldman Sachs,Public,New York NY,110000,65000,5000,20000,80,2,High,Onsite
8,Technology,Junior Machine Learning Engineer,OpenAI,Late-Stage Startup,San Francisco CA,145000,22000,95000,25000,46,2,High,Hybrid
9,Logistics,Junior Supply Chain Analyst,UPS,Public,Louisville KY,48000,4500,0,2500,40,1,Low,Onsite
10,Technology,Junior Backend Engineer,Shopify,Public,Remote,105000,12000,18000,12000,40,2,High,Remote
11,Finance,Junior Risk Analyst,JPMorgan Chase,Public,New York NY,88000,28000,4000,12000,50,2,Medium,Hybrid
12,Healthcare,Junior Biostatistician,Moderna,Public,Boston MA,75000,8000,12000,8000,42,2,Medium,Hybrid
13,Manufacturing,Junior Process Engineer,Caterpillar,Public,Peoria IL,62000,5000,2000,4000,42,2,Low,Onsite
14,Technology,Junior DevOps Engineer,Amazon,Public,Seattle WA,122000,16000,28000,15000,44,2,High,Hybrid
15,Marketing,Junior Digital Marketing Analyst,HubSpot,Public,Boston MA,58000,5000,8000,4000,40,1,Medium,Hybrid
16,Finance,Junior Equity Research Analyst,Morgan Stanley,Public,New York NY,95000,42000,3000,15000,70,2,High,Onsite
17,Technology,Junior iOS Developer,Apple,Public,Cupertino CA,132000,18000,32000,20000,42,2,High,Onsite
18,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,82000,10000,5000,8000,45,2,Medium,Onsite
19,Technology,Junior Data Scientist,Databricks,Late-Stage Startup,San Francisco CA,138000,20000,72000,22000,44,2,High,Hybrid
20,Consulting,Junior Management Consultant,McKinsey,Private,New York NY,92000,18000,0,25000,65,2,High,Hybrid
21,Technology,Junior Cybersecurity Analyst,CrowdStrike,Public,Austin TX,88000,10000,15000,10000,42,1,High,Remote
22,Finance,Junior Derivatives Trader,Jane Street,Private,New York NY,125000,95000,12000,30000,60,2,High,Onsite
23,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,58000,6000,0,3000,40,1,Medium,Hybrid
24,Technology,Junior Embedded Systems Engineer,Tesla,Public,Austin TX,110000,14000,20000,15000,50,2,High,Onsite
25,Healthcare,Junior Pharmaceutical Sales Rep,AbbVie,Public,Chicago IL,65000,18000,5000,10000,42,1,Medium,Onsite
26,Technology,Junior QA Engineer,Salesforce,Public,San Francisco CA,105000,11000,14000,12000,40,2,Medium,Hybrid
27,Aerospace,Junior Aerospace Engineer,SpaceX,Private,Hawthorne CA,98000,12000,25000,10000,55,2,Medium,Onsite
28,Finance,Junior Compliance Analyst,BlackRock,Public,New York NY,82000,14000,3000,8000,42,2,Medium,Hybrid
29,Technology,Junior Product Manager,Notion,Late-Stage Startup,San Francisco CA,118000,16000,55000,18000,44,2,High,Hybrid
30,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,52000,4000,1000,2500,40,1,Low,Hybrid
31,Technology,Junior AI Research Engineer,Anthropic,Late-Stage Startup,San Francisco CA,148000,25000,110000,30000,46,2,High,Hybrid
32,Logistics,Junior Freight Coordinator,XPO Logistics,Public,Memphis TN,44000,3500,0,2000,40,1,Low,Onsite
33,Manufacturing,Junior Quality Control Engineer,Boeing,Public,Seattle WA,72000,7000,4000,5000,42,2,Low,Onsite
34,Technology,Junior Cloud Infrastructure Engineer,Google,Public,Mountain View CA,140000,20000,50000,22000,42,2,High,Hybrid
35,Finance,Mid-Level Financial Analyst,Blackstone,Public,New York NY,115000,48000,15000,18000,55,5,Medium,Hybrid
36,Technology,Senior Software Engineer,Airbnb,Public,San Francisco CA,195000,35000,85000,30000,42,7,Medium,Hybrid
37,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,220000,180000,40000,50000,55,6,Medium,Onsite
38,Technology,Senior Machine Learning Engineer,DeepMind,Public,London UK,185000,28000,60000,35000,44,6,High,Hybrid
39,Healthcare,Mid-Level Clinical Data Manager,Johnson & Johnson,Public,New Brunswick NJ,95000,12000,8000,10000,42,5,Medium,Hybrid
40,Consulting,Senior Strategy Consultant,Bain,Private,Chicago IL,165000,55000,0,40000,60,6,High,Hybrid
41,Technology,Senior Product Manager,Figma,Late-Stage Startup,San Francisco CA,210000,40000,150000,35000,44,7,Medium,Hybrid
42,Energy,Mid-Level Reservoir Engineer,Chevron,Public,Houston TX,115000,18000,10000,12000,44,5,Medium,Onsite
43,Manufacturing,Mid-Level Mechanical Engineer,Lockheed Martin,Public,Fort Worth TX,98000,14000,8000,8000,42,5,Low,Onsite
44,Finance,Senior Investment Analyst,Bridgewater,Private,Westport CT,185000,120000,25000,35000,60,7,Medium,Onsite
45,Technology,Senior Data Engineer,Snowflake,Public,Remote,175000,28000,65000,25000,42,6,High,Remote
46,Aerospace,Mid-Level Systems Engineer,Northrop Grumman,Public,El Segundo CA,118000,16000,12000,10000,44,5,Low,Onsite
47,Marketing,Senior Brand Strategist,Procter & Gamble,Public,Cincinnati OH,112000,20000,8000,12000,42,7,Medium,Hybrid
48,Technology,Senior Security Engineer,Palo Alto Networks,Public,Santa Clara CA,205000,38000,90000,30000,44,7,High,Remote
49,Real Estate,Mid-Level Real Estate Portfolio Manager,Brookfield,Public,New York NY,128000,32000,10000,15000,45,5,Medium,Hybrid
50,Technology,Chief Technology Officer,Scale AI,Late-Stage Startup,San Francisco CA,320000,120000,850000,100000,55,15,Low,Onsite
1,Finance,Junior Analyst,Goldman Sachs,Public,New York NY,95000,18000,0,10000,65,1,High,Onsite
2,Technology,Junior Software Engineer,ByteDance,Public,San Francisco CA,135000,15000,25000,20000,45,1,High,Hybrid
3,Healthcare,Medical Coder,Optum,Public,Minneapolis MN,52000,4000,0,3000,40,2,Medium,Remote
4,Technology,Junior Data Analyst,DataBricks,Late-Stage Startup,San Francisco CA,118000,12000,18000,15000,45,1,High,Hybrid
5,Finance,Accounting Associate,Deloitte,Public,Chicago IL,68000,7000,0,5000,50,2,Medium,Hybrid
6,Logistics,Supply Chain Coordinator,FedEx,Public,Memphis TN,54000,5000,0,2000,42,2,Medium,Onsite
7,Technology,Junior Frontend Engineer,Figma,Late-Stage Startup,San Francisco CA,128000,12000,22000,18000,44,1,High,Hybrid
8,Finance,Quant Researcher,Jane Street,Private,New York NY,175000,140000,0,50000,70,3,Medium,Onsite
9,Technology,Junior ML Engineer,OpenAI,Late-Stage Startup,San Francisco CA,145000,18000,40000,25000,50,2,High,Hybrid
10,Manufacturing,Junior Process Engineer,Caterpillar,Public,Peoria IL,72000,6000,0,4000,42,1,High,Onsite
11,Healthcare,Junior Nurse Practitioner,Mayo Clinic,Nonprofit,Rochester MN,78000,5000,0,8000,48,2,Medium,Onsite
12,Finance,Junior Trader,Citadel Securities,Private,Chicago IL,130000,85000,0,30000,70,2,High,Onsite
13,Technology,Junior Backend Engineer,Stripe,Late-Stage Startup,San Francisco CA,140000,14000,30000,20000,46,2,High,Hybrid
14,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,62000,6000,0,3000,42,1,Medium,Hybrid
15,Technology,Junior DevOps Engineer,Cloudflare,Public,Austin TX,105000,10000,8000,12000,44,1,High,Remote
16,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,92000,10000,5000,8000,44,2,Medium,Onsite
17,Finance,Junior Compliance Analyst,JPMorgan Chase,Public,New York NY,82000,9000,0,7000,48,1,Medium,Hybrid
18,Technology,Junior iOS Developer,Snapchat,Public,Los Angeles CA,120000,11000,12000,15000,44,2,High,Hybrid
19,Aerospace,Junior Mechanical Engineer,Boeing,Public,Seattle WA,88000,8000,4000,6000,42,1,Medium,Onsite
20,Technology,Junior Data Scientist,Palantir,Public,New York NY,125000,13000,15000,18000,50,2,High,Hybrid
21,Retail,Junior Merchandising Analyst,Target,Public,Minneapolis MN,58000,5000,0,3000,40,1,Medium,Hybrid
22,Technology,Junior Security Engineer,CrowdStrike,Public,Austin TX,115000,11000,10000,14000,44,2,High,Remote
23,Finance,Junior Investment Banking Analyst,Morgan Stanley,Public,New York NY,110000,50000,0,20000,80,1,High,Onsite
24,Biotech,Junior Research Scientist,Moderna,Public,Boston MA,90000,9000,10000,10000,45,2,High,Onsite
25,Technology,Junior Cloud Engineer,Amazon Web Services,Public,Seattle WA,128000,13000,15000,20000,45,1,High,Hybrid
26,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,55000,4000,0,2000,40,1,Low,Remote
27,Technology,Junior QA Engineer,Atlassian,Public,Austin TX,95000,8000,6000,10000,40,1,Medium,Remote
28,Finance,Junior Accountant,PwC,Public,Chicago IL,65000,6500,0,4000,50,1,Medium,Hybrid
29,Gaming,Junior Game Developer,Epic Games,Private,Cary NC,98000,9000,8000,10000,45,2,High,Hybrid
30,Technology,Junior AI Research Engineer,Anthropic,Late-Stage Startup,San Francisco CA,150000,20000,50000,30000,50,2,High,Hybrid
31,Consulting,Junior Management Consultant,McKinsey,Private,New York NY,100000,20000,0,25000,60,1,High,Hybrid
32,Healthcare,Junior Biomedical Engineer,Medtronic,Public,Minneapolis MN,80000,7000,3000,5000,42,2,Medium,Onsite
33,Logistics,Junior Operations Analyst,UPS,Public,Atlanta GA,56000,4500,0,2500,40,1,Medium,Hybrid
34,Technology,Junior Product Manager,HubSpot,Public,Boston MA,105000,11000,9000,12000,44,2,High,Hybrid
35,Finance,Senior Quant Trader,Two Sigma,Private,New York NY,280000,350000,0,100000,70,8,Low,Onsite
36,Technology,Senior AI Researcher,Google DeepMind,Public,San Francisco CA,290000,80000,120000,50000,50,7,Medium,Hybrid
37,Finance,Senior Investment Banker,Lazard,Public,New York NY,220000,180000,0,60000,80,6,Medium,Onsite
38,Technology,Senior Software Engineer,Meta,Public,San Francisco CA,260000,60000,80000,50000,48,6,Medium,Hybrid
39,Healthcare,Senior Clinical Researcher,Pfizer,Public,New York NY,145000,20000,15000,20000,45,7,Low,Hybrid
40,Consulting,Senior Strategy Consultant,Bain,Private,Boston MA,185000,80000,0,40000,60,6,Medium,Hybrid
41,Technology,Senior Data Engineer,Snowflake,Public,San Francisco CA,210000,40000,50000,35000,46,5,Medium,Remote
42,Aerospace,Senior Systems Engineer,SpaceX,Private,Hawthorne CA,175000,25000,30000,25000,60,7,Low,Onsite
43,Biotech,Senior Computational Biologist,Genentech,Public,San Francisco CA,185000,28000,20000,25000,46,6,Medium,Hybrid
44,Finance,Senior Risk Analyst,BlackRock,Public,New York NY,175000,55000,10000,30000,52,6,Low,Hybrid
45,Energy,Senior Reservoir Engineer,Chevron,Public,Houston TX,165000,28000,12000,20000,46,8,Low,Onsite
46,Technology,Senior Product Manager,Airbnb,Public,San Francisco CA,220000,45000,60000,40000,48,6,Medium,Hybrid
47,Real Estate,Senior Portfolio Manager,Blackstone,Public,New York NY,200000,120000,20000,40000,55,7,Low,Onsite
48,Manufacturing,Senior Robotics Engineer,Rivian,Late-Stage Startup,Normal IL,160000,22000,35000,20000,48,6,Medium,Onsite
49,Cybersecurity,Senior Threat Intelligence Analyst,Palo Alto Networks,Public,Santa Clara CA,195000,35000,30000,30000,48,7,Medium,Remote
50,Finance,Chief Investment Officer,Bridgewater Associates,Private,Westport CT,600000,800000,500000,200000,55,20,Low,Onsite
1,Finance,Junior Quantitative Analyst,Citadel,Public,Chicago IL,115000,72000,15000,20000,55,2,Medium,Onsite
2,Technology,Junior Software Engineer,Meta,Public,San Francisco CA,145000,18000,85000,15000,42,1,High,Hybrid
3,Healthcare,Medical Billing Specialist,Advocate Health,Private,Chicago IL,48000,4200,0,2000,40,1,Low,Onsite
4,Technology,Junior Data Analyst,Snowflake,Late-Stage Startup,San Francisco CA,118000,12000,45000,10000,43,2,High,Hybrid
5,Finance,Junior Accountant,Deloitte,Public,Columbus OH,54000,6800,0,3000,42,1,Medium,Hybrid
6,Logistics,Supply Chain Coordinator,FedEx,Public,Memphis TN,52000,4500,0,2500,40,2,Low,Onsite
7,Technology,Junior Machine Learning Engineer,OpenAI,Late-Stage Startup,San Francisco CA,165000,28000,120000,25000,46,2,High,Hybrid
8,Energy,Junior Petroleum Engineer,ExxonMobil,Public,Houston TX,88000,11000,8000,8000,43,1,Medium,Onsite
9,Finance,Equity Research Analyst,Goldman Sachs,Public,New York NY,125000,85000,20000,25000,60,2,Medium,Onsite
10,Retail,Junior Merchandising Analyst,Target,Public,Minneapolis MN,56000,5600,2000,2000,40,1,Medium,Hybrid
11,Technology,Junior DevOps Engineer,Cloudflare,Public,Austin TX,108000,10000,30000,8000,42,2,High,Remote
12,Healthcare,Clinical Research Coordinator,Pfizer,Public,New York NY,67000,7000,4000,5000,40,2,Medium,Hybrid
13,Finance,Junior Trader,Jane Street,Private,New York NY,130000,140000,10000,30000,65,2,High,Onsite
14,Manufacturing,Junior Process Engineer,3M,Public,St. Paul MN,72000,6500,3000,4000,40,2,Medium,Onsite
15,Technology,Junior Product Manager,Airbnb,Public,San Francisco CA,130000,16000,55000,12000,44,2,High,Hybrid
16,Consulting,Junior Business Analyst,McKinsey,Private,New York NY,95000,22000,0,15000,55,1,High,Hybrid
17,Technology,Junior Frontend Engineer,Spotify,Public,New York NY,128000,14000,40000,12000,42,2,High,Remote
18,Finance,Junior Compliance Officer,JPMorgan Chase,Public,New York NY,82000,9000,5000,8000,42,2,Low,Onsite
19,Real Estate,Junior Property Analyst,CBRE,Public,Dallas TX,62000,7000,2000,3000,40,1,Medium,Hybrid
20,Technology,Junior Backend Engineer,Stripe,Late-Stage Startup,San Francisco CA,152000,18000,90000,18000,44,2,High,Hybrid
21,Aerospace,Junior Mechanical Engineer,Boeing,Public,Seattle WA,84000,7500,4000,5000,40,2,Medium,Onsite
22,Technology,Junior QA Engineer,ServiceNow,Public,Santa Clara CA,95000,9000,22000,7000,40,1,Low,Hybrid
23,Finance,Financial Analyst,Morningstar,Public,Chicago IL,72000,8500,3000,5000,42,2,Medium,Hybrid
24,Media,Junior Content Strategist,BuzzFeed,Public,New York NY,58000,4500,1500,2000,40,1,Low,Remote
25,Technology,Junior iOS Developer,Apple,Public,Cupertino CA,148000,20000,70000,15000,43,2,Medium,Onsite
26,Healthcare,Junior Biostatistician,Moderna,Public,Boston MA,88000,9000,12000,7000,40,2,Medium,Hybrid
27,Cybersecurity,Junior Security Analyst,CrowdStrike,Public,Austin TX,98000,10000,28000,8000,42,1,High,Remote
28,Finance,Junior Risk Analyst,BlackRock,Public,New York NY,92000,14000,8000,10000,44,2,Medium,Hybrid
29,Education,Junior Curriculum Developer,Coursera,Late-Stage Startup,Mountain View CA,78000,6000,15000,4000,40,1,Medium,Remote
30,Technology,Junior Data Engineer,Databricks,Late-Stage Startup,San Francisco CA,138000,14000,75000,12000,43,2,High,Hybrid
31,Logistics,Junior Operations Analyst,Amazon,Public,Seattle WA,95000,12000,20000,8000,42,2,Medium,Hybrid
32,Finance,Junior Investment Banking Analyst,Morgan Stanley,Public,New York NY,110000,95000,5000,20000,75,1,High,Onsite
33,Architecture,Junior Architect,Gensler,Private,Chicago IL,62000,5000,0,3000,40,2,Medium,Hybrid
34,Technology,Junior AI Research Scientist,DeepMind,Public,San Francisco CA,158000,30000,100000,22000,46,2,High,Hybrid
35,Technology,Senior Software Engineer,Google,Public,San Francisco CA,195000,45000,180000,30000,43,6,Medium,Hybrid
36,Finance,Senior Quantitative Researcher,Two Sigma,Private,New York NY,220000,280000,50000,50000,58,7,Medium,Onsite
